age	job	marital	education	default	housing	loan	duration
56	housemaid	married	basic.4y	no	no	no	261
57	services	married	high.school	unknown	no	no	149
37	services	married	high.school	no	yes	no	226
40	admin.	married	basic.6y	no	no	no	151
56	services	married	high.school	no	no	yes	307
45	services	married	basic.9y	unknown	no	no	198
59	admin.	married	professional.course	no	no	no	139
41	blue-collar	married	unknown	unknown	no	no	217
24	technician	single	professional.course	no	yes	no	380
25	services	single	high.school	no	yes	no	50
41	blue-collar	married	unknown	unknown	no	no	55
25	services	single	high.school	no	yes	no	222
29	blue-collar	single	high.school	no	no	yes	137
57	housemaid	divorced	basic.4y	no	yes	no	293
35	blue-collar	married	basic.6y	no	yes	no	146
54	retired	married	basic.9y	unknown	yes	yes	174
35	blue-collar	married	basic.6y	no	yes	no	312
46	blue-collar	married	basic.6y	unknown	yes	yes	440
50	blue-collar	married	basic.9y	no	yes	yes	353
39	management	single	basic.9y	unknown	no	no	195
30	unemployed	married	high.school	no	no	no	38
55	blue-collar	married	basic.4y	unknown	yes	no	262
55	retired	single	high.school	no	yes	no	342
41	technician	single	high.school	no	yes	no	181
37	admin.	married	high.school	no	yes	no	172
35	technician	married	university.degree	no	no	yes	99
59	technician	married	unknown	no	yes	no	93
39	self-employed	married	basic.9y	unknown	no	no	233
54	technician	single	university.degree	unknown	no	no	255
55	unknown	married	university.degree	unknown	unknown	unknown	362
46	admin.	married	unknown	no	no	no	348
59	technician	married	unknown	no	yes	no	386
49	blue-collar	married	unknown	no	no	no	73
54	management	married	basic.4y	unknown	yes	no	230
54	blue-collar	divorced	basic.4y	no	no	no	208
55	unknown	married	basic.4y	unknown	yes	no	336
34	services	married	high.school	no	no	no	365
52	technician	married	basic.9y	no	yes	no	1666
41	admin.	married	university.degree	no	yes	no	577
56	technician	married	basic.4y	no	yes	no	137
58	management	unknown	university.degree	no	yes	no	366
32	entrepreneur	married	high.school	no	yes	no	314
38	admin.	single	professional.course	no	no	no	160
57	admin.	married	university.degree	no	no	yes	212
44	admin.	married	university.degree	unknown	yes	no	188
42	technician	single	professional.course	unknown	no	no	22
57	admin.	married	university.degree	no	yes	yes	616
40	blue-collar	married	basic.9y	no	no	yes	178
35	admin.	married	university.degree	no	yes	no	355
45	blue-collar	married	basic.9y	no	yes	no	225
54	admin.	married	high.school	no	no	no	160
39	housemaid	married	basic.4y	no	no	yes	266
60	admin.	married	high.school	no	no	no	253
53	admin.	single	professional.course	no	no	no	179
55	blue-collar	married	basic.4y	unknown	no	no	269
55	technician	married	professional.course	unknown	yes	no	135
50	management	married	university.degree	unknown	no	yes	161
45	services	married	high.school	unknown	yes	no	787
55	unemployed	married	professional.course	unknown	yes	yes	145
25	technician	single	university.degree	no	yes	no	174
47	entrepreneur	married	university.degree	unknown	no	no	449
51	blue-collar	married	basic.9y	no	yes	no	812
42	blue-collar	married	basic.6y	unknown	yes	no	164
42	blue-collar	married	basic.6y	unknown	no	no	366
48	admin.	married	high.school	no	no	no	357
37	admin.	married	university.degree	no	no	no	232
44	blue-collar	single	basic.9y	no	yes	no	91
33	admin.	married	unknown	no	yes	no	273
56	admin.	married	basic.9y	no	yes	no	158
44	blue-collar	single	basic.4y	unknown	yes	yes	177
41	management	married	basic.6y	no	no	no	200
44	management	divorced	university.degree	no	yes	no	172
47	admin.	married	university.degree	unknown	yes	no	176
57	unknown	married	unknown	unknown	no	no	211
37	admin.	married	university.degree	unknown	yes	no	214
41	blue-collar	divorced	basic.4y	unknown	yes	no	1575
55	technician	married	university.degree	no	no	no	349
33	services	married	high.school	unknown	yes	no	337
55	management	married	unknown	unknown	yes	no	272
42	blue-collar	married	basic.9y	unknown	no	no	208
50	blue-collar	married	basic.4y	unknown	yes	no	193
51	blue-collar	married	basic.4y	unknown	unknown	unknown	212
38	admin.	married	high.school	unknown	no	no	165
49	entrepreneur	married	university.degree	unknown	yes	no	1042
38	technician	single	university.degree	no	no	yes	20
31	admin.	divorced	high.school	no	no	no	246
41	management	married	basic.6y	no	no	no	529
39	admin.	married	university.degree	no	yes	yes	192
49	technician	married	basic.9y	no	no	no	1467
34	admin.	married	high.school	no	yes	no	188
35	admin.	married	university.degree	no	yes	no	180
57	unknown	married	unknown	unknown	yes	no	48
60	admin.	married	unknown	unknown	no	yes	213
33	unemployed	married	basic.9y	no	no	no	545
42	blue-collar	married	basic.6y	no	no	yes	583
45	services	married	professional.course	no	yes	no	221
42	management	married	university.degree	no	no	no	426
53	admin.	divorced	university.degree	unknown	no	no	287
37	technician	single	professional.course	no	no	no	197
44	blue-collar	married	basic.6y	no	no	no	257
54	services	married	unknown	no	yes	no	229
49	blue-collar	married	basic.4y	no	no	no	55
54	services	married	unknown	no	no	no	400
52	admin.	divorced	university.degree	no	no	no	197
52	admin.	divorced	university.degree	no	no	no	190
43	services	single	high.school	unknown	no	no	21
34	housemaid	married	basic.6y	no	yes	no	300
35	admin.	married	high.school	no	yes	no	123
42	entrepreneur	married	unknown	unknown	yes	no	293
43	technician	married	unknown	unknown	yes	yes	325
60	retired	divorced	university.degree	unknown	no	no	514
58	unemployed	married	basic.4y	unknown	no	no	849
35	services	divorced	high.school	no	yes	no	194
55	blue-collar	married	basic.9y	unknown	yes	no	212
37	management	married	university.degree	no	no	no	337
36	blue-collar	married	high.school	no	no	no	286
52	admin.	divorced	university.degree	no	no	no	247
57	blue-collar	divorced	unknown	unknown	yes	no	518
56	admin.	married	unknown	no	yes	no	364
48	blue-collar	divorced	basic.4y	unknown	yes	no	178
40	blue-collar	married	high.school	unknown	yes	no	98
49	blue-collar	divorced	high.school	no	no	no	439
41	services	married	high.school	no	no	no	139
45	technician	married	high.school	no	yes	no	79
32	admin.	married	university.degree	no	yes	yes	175
42	admin.	married	university.degree	no	no	yes	262
50	admin.	married	basic.6y	no	no	no	61
31	technician	divorced	professional.course	no	yes	yes	78
56	retired	married	basic.4y	no	yes	no	102
41	technician	married	professional.course	unknown	yes	no	579
37	blue-collar	married	basic.6y	no	yes	yes	143
41	technician	married	professional.course	unknown	no	no	677
35	blue-collar	married	unknown	no	yes	no	267
37	blue-collar	married	basic.6y	no	yes	no	345
52	management	married	university.degree	no	no	no	185
39	management	divorced	university.degree	no	no	no	207
39	housemaid	married	basic.4y	unknown	no	no	69
56	blue-collar	married	basic.4y	unknown	no	no	100
34	services	married	high.school	no	yes	no	125
45	blue-collar	married	basic.9y	unknown	yes	no	461
43	unemployed	single	university.degree	no	yes	no	240
56	management	married	unknown	no	yes	no	70
39	management	married	university.degree	no	yes	no	193
53	blue-collar	married	basic.4y	no	yes	no	136
38	unknown	divorced	high.school	unknown	yes	no	73
42	blue-collar	married	basic.4y	unknown	yes	no	528
42	blue-collar	married	basic.4y	unknown	no	no	541
35	admin.	single	high.school	no	yes	no	338
40	admin.	married	university.degree	unknown	yes	no	163
51	blue-collar	married	basic.4y	no	yes	no	87
60	blue-collar	married	basic.9y	unknown	no	no	301
56	entrepreneur	married	unknown	unknown	yes	no	46
39	services	divorced	high.school	unknown	yes	no	52
